ship_imo,company_imo,role,company_name,company_address,date_of_effect
8306929,5619960,ISM Manager,KOREA OSONG SHIPPING CO,"Kansong-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 19/07/2016
8400854,5321613,Ship manager/Commercial manager,KOREA HAEGUMGANG SHPG CO,"Uiam-dong, Taedonggang-guyok, Pyongyang, North Korea.",before 10/2014
8400854,5321613,Registered owner,KOREA HAEGUMGANG SHPG CO,"Uiam-dong, Taedonggang-guyok, Pyongyang, North Korea.",before 10/2014
8400854,5321613,ISM Manager,KOREA HAEGUMGANG SHPG CO,"Uiam-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 01/10/2014
8415287,5805562,Ship manager/Commercial manager,HOCHONGANG SHIPPING CO LTD,"Kangan 2-dong, Songyo-guyok, Pyongyang, North Korea.",since 08/05/2014
8415287,5805562,Registered owner,HOCHONGANG SHIPPING CO LTD,"Kangan 2-dong, Songyo-guyok, Pyongyang, North Korea.",since 08/05/2014
8415287,5805562,ISM Manager,HOCHONGANG SHIPPING CO LTD,"Kangan 2-dong, Songyo-guyok, Pyongyang, North Korea.",since 08/05/2014
9314650,1701459,Ship manager/Commercial manager,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/09/2012
9314650,1701459,ISM Manager,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 18/06/2012
9314650,1701459,Registered owner,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/09/2012
8661719,5926921,Ship manager/Commercial manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 07/10/2016
8661719,5926921,Registered owner,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 07/10/2016
8661719,9991001,ISM Manager,UNKNOWN,,since 07/10/2016
9098206,5936290,Ship manager/Commercial manager,KOREA HUNGBAL SHIPPING CO,"Rakrang-guyok, Pyongyang, North Korea.",before 08/2016
9098206,5936290,Registered owner,KOREA HUNGBAL SHIPPING CO,"Rakrang-guyok, Pyongyang, North Korea.",before 08/2016
9098206,5936290,ISM Manager,KOREA HUNGBAL SHIPPING CO,"Rakrang-guyok, Pyongyang, North Korea.",since 01/08/2016
8324256,5787636,ISM Manager,SONGYONG SHIPPING CO,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 01/08/2016
8324256,5787636,Registered owner,SONGYONG SHIPPING CO,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 16/12/2013
